year_month,forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,13013.052063315263,10549.573247811184,15476.530878819342,9223.08465484745,16803.01947178308
2026-02-01,7563.175613715845,6131.4036656998815,8994.94756173181,5360.449539845133,9765.901687586558
2026-03-01,6030.005044174225,4888.475016366016,7171.535071982435,4273.805001392365,7786.205086956085
2026-04-01,13376.926832053745,10844.563501224417,15909.290162883073,9480.983246162472,17272.870417945018
2026-05-01,12404.300142693035,10056.0631208169,14752.53716456917,8791.627801345136,16016.972484040934
2026-06-01,7207.597424353844,5843.139380292663,8572.055468415025,5108.431202721258,9306.76364598643
2026-07-01,11249.252023383397,10005.575459784046,12492.928586982747,9335.90346399978,13162.600582767012
2026-08-01,40596.983638105055,32876.78639203362,48317.180884176494,28719.75710568745,52474.21017052266
2026-09-01,34948.23429756156,32614.147750416014,37282.32084470711,31357.33191733764,38539.136677785486
2026-10-01,10305.097409084421,7290.856416927228,13319.338401241614,5667.803574996431,14942.391243172411
2026-11-01,5956.876297314382,4763.3752458982635,7150.377348730501,4120.720833597276,7793.031761031488
2026-12-01,7069.551991149955,5713.744400572382,8425.359581727527,4983.69415949215,9155.40982280776
2027-01-01,14609.055203721262,11843.439740585382,17374.670666857142,10354.262183512215,18863.84822393031
2027-02-01,9245.764433033208,7495.464449363144,10996.064416703271,6552.995227386957,11938.533638679459
2027-03-01,7737.058055617289,6272.368717435809,9201.747393798769,5483.689843030397,9990.42626820418
2027-04-01,15090.892033871569,12234.060857632447,17947.723210110693,10695.767147349841,19486.016920393296
2027-05-01,14120.218336685357,11447.143751763218,16793.292921607495,10007.795898343606,18232.64077502711
2027-06-01,8924.067422944547,7234.667354644723,10613.467491244372,6324.990394790972,11523.144451098122
